ImageId,Label
1,3
2,2
3,7
4,6
5,6
6,7
7,6
8,9
9,4
10,4
11,6
12,9
13,8
14,5
15,6
16,5
17,0
18,8
19,5
20,3
21,2
22,1
23,3
24,5
25,3
26,2
27,1
28,7
29,2
30,2
31,8
32,0
33,9
34,8
35,2
36,0
37,5
38,2
39,8
40,9
41,3
42,1
43,9
44,5
45,7
46,0
47,7
48,7
49,7
50,6
51,4
52,3
53,5
54,6
55,7
56,3
57,9
58,4
59,7
60,4
61,3
62,0
63,6
64,4
65,2
66,5
67,0
68,8
69,7
70,2
71,3
72,1
73,4
74,6
75,0
76,1
77,6
78,2
79,3
80,2
81,1
82,9
83,5
84,7
85,1
86,3
87,0
88,2
89,6
90,2
91,0
92,1
93,4
94,0
95,2
96,8
97,5
98,8
99,7
100,7
101,0
102,1
103,1
104,7
105,6
106,1
107,5
108,7
109,0
110,3
111,5
112,1
113,2
114,6
115,4
116,1
117,0
118,7
119,0
120,9
121,7
122,1
123,6
124,5
125,9
126,2
127,4
128,2
129,3
130,6
131,7
132,8
133,4
134,1
135,2
136,5
137,5
138,9
139,8
140,6
141,8
142,2
143,0
144,0
145,0
146,9
147,0
148,1
149,6
150,7
151,5
152,4
153,4
154,7
155,5
156,3
157,9
158,8
159,0
160,1
161,2
162,4
163,2
164,3
165,1
166,0
167,3
168,6
169,7
170,5
171,9
172,8
173,2
174,8
175,8
176,8
177,1
178,3
179,5
180,3
181,0
182,1
183,8
184,0
185,0
186,6
187,2
188,6
189,7
190,7
191,9
192,9
193,9
194,3
195,3
196,6
197,6
198,8
199,6
200,6
201,4
202,2
203,7
204,2
205,5
206,3
207,4
208,0
209,6
210,2
211,4
212,9
213,7
214,0
215,2
216,3
217,6
218,9
219,5
220,0
221,1
222,4
223,9
224,2
225,0
226,8
227,5
228,8
229,5
230,3
231,0
232,1
233,3
234,1
235,1
236,3
237,2
238,4
239,5
240,7
241,9
242,8
243,9
244,1
245,4
246,4
247,7
248,2
249,1
250,2
251,7
252,8
253,0
254,4
255,8
256,9
257,0
258,1
259,8
260,7
261,6
262,8
263,4
264,4
265,9
266,7
267,2
268,9
269,8
270,5
271,5
272,1
273,7
274,5
275,8
276,5
277,0
278,2
279,1
280,9
281,8
282,7
283,9
284,0
285,5
286,0
287,5
288,0
289,3
290,8
291,8
292,1
293,1
294,3
295,3
296,1
297,0
298,1
299,1
300,3
301,7
302,2
303,2
304,7
305,1
306,6
307,0
308,0
309,5
310,3
311,7
312,0
313,0
314,7
315,2
316,3
317,3
318,1
319,0
320,6
321,2
322,8
323,5
324,9
325,1
326,7
327,6
328,6
329,3
330,5
331,6
332,0
333,7
334,7
335,8
336,0
337,3
338,2
339,5
340,8
341,7
342,0
343,1
344,5
345,1
346,2
347,9
348,9
349,2
350,7
351,8
352,7
353,7
354,2
355,5
356,9
357,2
358,9
359,6
360,1
361,1
362,8
363,1
364,0
365,9
366,0
367,4
368,2
369,2
370,2
371,2
372,3
373,7
374,3
375,8
376,6
377,5
378,7
379,9
380,6
381,0
382,6
383,9
384,2
385,1
386,1
387,8
388,6
389,1
390,1
391,2
392,0
393,8
394,1
395,3
396,8
397,9
398,2
399,9
400,0
401,6
402,8
403,6
404,5
405,5
406,7
407,5
408,3
409,8
410,6
411,3
412,6
413,0
